Transaction_ID,Date,Origin_Facility,Destination_City,Vehicle_Type,Route_Type,Distance_KM,Package_Weight_KG,Traffic_Conditions,Carbon_Emission_kgCO2e,Is_Eco_Friendly
TRX-5B890F93,2025-06-12,Bandung Hub,South Kevinstad,Diesel Van (Euro 4),Mixed Route,100.8,28.0,Normal,29.882,0
TRX-C4115075,2025-03-11,Jakarta Fulfillment Center,Stevenchester,Motorcycle (Courier),Inter-District,35.4,19.4,Normal,3.791,0
TRX-EA67C817,2025-04-24,Semarang Depot,Thompsonhaven,Cargo Bicycle,Urban Last Mile,10.5,1.1,Low,0.0,1
TRX-D9574E67,2025-07-09,Makassar Port,Wilsonhaven,Heavy Truck,Inter-City,253.1,4472.0,Normal,246.63,0
TRX-8FCEE92D,2025-11-08,Bandung Hub,Lisaborough,Diesel Van (Euro 6),Mixed Route,102.6,6.0,Normal,20.992,0
TRX-8C7844AD,2025-04-02,Surabaya Warehouse,North Nataliemouth,Motorcycle (Courier),Inter-District,23.7,26.1,High,3.235,0
TRX-6DBDFC46,2025-06-10,Semarang Depot,North Michael,Electric Van (EV),Mixed Route,36.2,5.7,Normal,1.997,1
TRX-52A6900C,2025-03-04,Semarang Depot,Annashire,Motorcycle (Courier),Inter-District,40.0,24.5,Normal,4.167,0
TRX-BE82BB48,2025-11-06,Surabaya Warehouse,North Christine,Motorcycle (Courier),Inter-District,11.2,15.8,Low,1.051,0
TRX-588FD6B9,2025-04-21,Semarang Depot,New Kenneth,Diesel Van (Euro 4),Mixed Route,83.8,16.0,Normal,22.159,0
TRX-5F6E735E,2025-04-17,Surabaya Warehouse,North Kimberly,Drone Delivery,Urban Last Mile,2.3,6.8,Normal,0.015,1
TRX-F1C85F81,2025-02-09,Jakarta Fulfillment Center,Jacksonton,Diesel Van (Euro 4),Mixed Route,133.0,19.5,Low,33.087,0
TRX-5B22FF5F,2025-10-24,Semarang Depot,Jenniferburgh,Heavy Truck,Inter-City,648.3,4322.7,Normal,625.195,0
TRX-15527950,2025-09-10,Makassar Port,New Lawrenceshire,Diesel Van (Euro 6),Mixed Route,144.6,10.9,High,37.643,0
TRX-76650E48,2025-11-24,Bandung Hub,West Sarahburgh,Electric Van (EV),Mixed Route,88.7,17.4,High,4.801,1
TRX-BECCDD27,2025-04-14,Medan Distribution,Bryanchester,Diesel Van (Euro 6),Mixed Route,25.4,21.6,High,6.092,0
TRX-22BBC2E0,2025-12-05,Medan Distribution,Roberttown,Drone Delivery,Urban Last Mile,9.0,6.8,High,0.063,1
TRX-9F6D99B2,2025-01-25,Surabaya Warehouse,East Andrewville,Heavy Truck,Inter-City,287.7,3000.8,Low,237.155,0
TRX-2CA0FB94,2025-02-08,Jakarta Fulfillment Center,Lesliemouth,Drone Delivery,Urban Last Mile,4.7,28.7,Low,0.049,1
TRX-5777E9F6,2025-08-26,Bandung Hub,South Leslieborough,Diesel Van (Euro 4),Mixed Route,105.8,22.9,Severe Congestion,45.217,0
TRX-6A96883E,2025-08-21,Makassar Port,Simmonsville,Drone Delivery,Urban Last Mile,3.6,19.1,High,0.035,1
TRX-5A908330,2025-09-26,Medan Distribution,Michelleview,Electric Van (EV),Mixed Route,48.8,25.2,Low,2.351,1
TRX-A81E3CE6,2025-06-03,Surabaya Warehouse,Staceystad,Electric Van (EV),Mixed Route,32.6,8.1,High,1.554,1
TRX-5FEEE5FA,2025-01-25,Jakarta Fulfillment Center,Johnsport,Motorcycle (Courier),Inter-District,35.3,27.2,High,5.025,0
TRX-D2C2DCC8,2025-09-30,Surabaya Warehouse,Keithville,Motorcycle (Courier),Inter-District,38.8,2.2,Severe Congestion,5.528,0
TRX-3DCB2788,2025-04-28,Bandung Hub,Florestown,Diesel Van (Euro 4),Mixed Route,53.4,3.3,High,18.643,0
TRX-4EBE760A,2025-08-01,Medan Distribution,Jameston,Heavy Truck,Inter-City,791.7,4358.5,High,954.127,0
TRX-B66A7E33,2025-10-10,Surabaya Warehouse,East Christineville,Drone Delivery,Urban Last Mile,7.4,19.0,Normal,0.064,1
TRX-1E719D88,2025-01-17,Makassar Port,New Michael,Heavy Truck,Inter-City,126.6,2318.9,Low,107.295,0
TRX-4904BDB3,2025-09-11,Medan Distribution,Anthonyshire,Diesel Van (Euro 6),Mixed Route,93.2,13.1,Normal,18.101,0
TRX-032EE7D6,2025-02-21,Makassar Port,Robertfurt,Diesel Van (Euro 4),Mixed Route,106.1,25.9,Low,25.846,0
TRX-33B26296,2025-04-05,Makassar Port,Batesberg,Electric Van (EV),Mixed Route,64.5,28.4,Low,3.172,1
TRX-8D75AFEA,2025-03-15,Surabaya Warehouse,Lake Jenniferside,Diesel Van (Euro 4),Mixed Route,113.0,13.4,Normal,32.557,0
TRX-75407AD7,2025-09-25,Jakarta Fulfillment Center,Smallberg,Electric Van (EV),Mixed Route,107.3,9.0,High,5.539,1
TRX-719FA96A,2025-04-01,Jakarta Fulfillment Center,North Joshuafort,Electric Van (EV),Mixed Route,117.5,9.9,High,6.474,1
TRX-4D13FFC8,2025-06-14,Jakarta Fulfillment Center,Susanberg,Heavy Truck,Inter-City,769.8,1388.5,Normal,758.625,0
TRX-F1C845AD,2025-09-03,Jakarta Fulfillment Center,Port Harryton,Cargo Bicycle,Urban Last Mile,15.0,5.3,Low,0.0,1
TRX-9FFE13A5,2025-09-12,Jakarta Fulfillment Center,Matthewhaven,Diesel Van (Euro 4),Mixed Route,15.2,15.9,Normal,3.974,0
TRX-8463AE57,2025-10-23,Medan Distribution,Briantown,Cargo Bicycle,Urban Last Mile,14.6,9.4,Low,0.0,1
TRX-FF8BA420,2025-09-03,Semarang Depot,South Brian,Heavy Truck,Inter-City,188.4,2368.8,High,213.254,0
TRX-E4675AA2,2025-03-30,Semarang Depot,Lake Rebecca,Diesel Van (Euro 6),Mixed Route,118.7,20.0,High,27.737,0
TRX-9DC81792,2025-06-06,Bandung Hub,Stephaniebury,Diesel Van (Euro 6),Mixed Route,86.0,20.0,Low,15.314,0
TRX-1C7B1A43,2025-08-09,Medan Distribution,Matthewborough,Cargo Bicycle,Urban Last Mile,8.8,26.7,Normal,0.0,1
TRX-A915DAE6,2025-05-28,Bandung Hub,Stephenmouth,Diesel Van (Euro 6),Mixed Route,13.3,8.7,Normal,2.734,0
TRX-F964CE35,2025-08-04,Semarang Depot,Princeshire,Motorcycle (Courier),Inter-District,14.2,9.8,High,1.704,0
TRX-EB34F027,2025-05-04,Makassar Port,East Courtney,Heavy Truck,Inter-City,162.6,1306.9,Normal,158.688,0
TRX-C97CDF34,2025-03-03,Jakarta Fulfillment Center,Englishstad,Cargo Bicycle,Urban Last Mile,13.1,24.8,Low,0.0,1
TRX-BA94F3C2,2025-11-15,Surabaya Warehouse,Popeburgh,Electric Van (EV),Mixed Route,98.6,22.8,High,4.507,1
TRX-337C77B7,2025-02-04,Surabaya Warehouse,Nathanview,Diesel Van (Euro 4),Mixed Route,102.1,0.8,High,38.489,0
TRX-62519BAE,2025-02-25,Bandung Hub,North Amandashire,Motorcycle (Courier),Inter-District,7.0,7.0,Normal,0.643,0
TRX-AD0BA5E2,2025-05-02,Medan Distribution,South Oscarhaven,Drone Delivery,Urban Last Mile,3.1,22.5,Normal,0.028,1
TRX-FE3EE1B6,2025-11-14,Semarang Depot,New Daniel,Cargo Bicycle,Urban Last Mile,14.7,28.6,High,0.0,1
TRX-F61B5AB9,2025-02-27,Bandung Hub,Cookview,Heavy Truck,Inter-City,680.3,2046.6,Low,563.626,0
TRX-F59FA3B9,2025-05-03,Bandung Hub,Lake Brittanyborough,Electric Van (EV),Mixed Route,60.3,19.3,High,3.049,1
TRX-54FDFBBC,2025-03-06,Medan Distribution,Kennethport,Drone Delivery,Urban Last Mile,7.6,23.8,High,0.076,1
TRX-4F31A076,2025-05-21,Medan Distribution,South Jacob,Electric Van (EV),Mixed Route,36.3,19.0,High,1.754,1
TRX-10DC05A2,2025-10-20,Bandung Hub,Port Catherinefort,Motorcycle (Courier),Inter-District,36.3,28.5,Normal,3.959,0
TRX-1EF9BE32,2026-01-02,Medan Distribution,Kellyside,Cargo Bicycle,Urban Last Mile,6.7,1.6,Severe Congestion,0.0,1
TRX-17FE4BCF,2025-03-10,Bandung Hub,East Leonardberg,Diesel Van (Euro 4),Mixed Route,51.9,16.6,Low,12.867,0
TRX-0255D409,2025-03-07,Surabaya Warehouse,North Zacharytown,Diesel Van (Euro 6),Mixed Route,110.1,3.5,Low,19.625,0
TRX-F4A56299,2025-11-25,Jakarta Fulfillment Center,Bryceport,Heavy Truck,Inter-City,252.0,4319.2,Normal,207.597,0
TRX-4FA6F7E6,2025-03-27,Medan Distribution,New Chelsea,Electric Van (EV),Mixed Route,90.2,28.7,Normal,4.697,1
TRX-AFF5BA20,2025-02-21,Semarang Depot,West Toddland,Heavy Truck,Inter-City,774.2,2824.7,High,862.453,0
TRX-69F81376,2025-05-31,Makassar Port,Christinaville,Cargo Bicycle,Urban Last Mile,3.2,15.5,Normal,0.0,1
TRX-6BC6CCBE,2025-05-18,Jakarta Fulfillment Center,Blankenshipville,Diesel Van (Euro 6),Mixed Route,112.6,10.3,Low,17.836,0
TRX-DA3F0B62,2025-08-06,Surabaya Warehouse,Port Michael,Electric Van (EV),Mixed Route,15.8,18.0,Severe Congestion,0.893,1
TRX-BF27CE30,2025-11-15,Bandung Hub,Hardinstad,Diesel Van (Euro 6),Mixed Route,135.8,9.2,Low,23.024,0
TRX-DF156C1E,2025-02-04,Surabaya Warehouse,Port Theresafort,Electric Van (EV),Mixed Route,28.8,12.0,Normal,1.496,1
TRX-AB61CC29,2025-11-01,Makassar Port,Josephbury,Cargo Bicycle,Urban Last Mile,1.1,18.4,Normal,0.0,1
TRX-5F672E38,2025-03-09,Semarang Depot,Ryanside,Motorcycle (Courier),Inter-District,17.4,23.3,Low,1.627,0
TRX-46D8D187,2025-05-11,Medan Distribution,Rebeccafort,Diesel Van (Euro 6),Mixed Route,111.1,1.4,Normal,22.14,0
TRX-01BDBAD1,2025-06-08,Surabaya Warehouse,Gregorymouth,Heavy Truck,Inter-City,201.3,627.9,Low,144.608,0
TRX-3825B6C3,2025-03-29,Jakarta Fulfillment Center,Katherinestad,Heavy Truck,Inter-City,567.4,3669.7,Low,500.546,0
TRX-10344437,2025-06-11,Jakarta Fulfillment Center,Lewismouth,Drone Delivery,Urban Last Mile,6.2,11.4,High,0.048,1
TRX-85012EB5,2025-10-18,Bandung Hub,South Joseph,Heavy Truck,Inter-City,208.0,3245.1,Normal,189.021,0
TRX-4BA2EA6A,2025-11-23,Bandung Hub,West Josephmouth,Diesel Van (Euro 4),Mixed Route,147.9,14.8,High,55.224,0
TRX-F3025911,2025-04-15,Makassar Port,New Courtney,Diesel Van (Euro 4),Mixed Route,63.4,18.7,High,23.81,0
TRX-070B28E3,2025-04-03,Makassar Port,Teresaside,Diesel Van (Euro 4),Mixed Route,58.7,27.3,High,21.839,0
TRX-FBF1C655,2025-10-29,Jakarta Fulfillment Center,West Kellymouth,Heavy Truck,Inter-City,463.3,4228.9,Low,399.847,0
TRX-04CB233C,2025-09-05,Makassar Port,Rossside,Drone Delivery,Urban Last Mile,7.4,17.8,High,0.069,1
TRX-4B5FF3C1,2025-10-08,Jakarta Fulfillment Center,Emilymouth,Diesel Van (Euro 4),Mixed Route,119.1,3.1,High,45.171,0
TRX-8EAD2A9A,2025-02-08,Semarang Depot,Kerrside,Drone Delivery,Urban Last Mile,5.4,22.7,Normal,0.05,1
TRX-FFAD8B30,2025-07-22,Bandung Hub,South Michael,Diesel Van (Euro 6),Mixed Route,55.5,15.4,Low,9.168,0
TRX-A9315E46,2025-05-11,Surabaya Warehouse,South Jennifertown,Electric Van (EV),Mixed Route,137.0,21.9,Low,6.826,1
TRX-85D7590E,2025-04-16,Semarang Depot,Davidshire,Motorcycle (Courier),Inter-District,16.0,6.3,High,1.899,0
TRX-3BE89670,2025-09-10,Semarang Depot,Whitakerfort,Diesel Van (Euro 6),Mixed Route,131.2,27.6,High,30.978,0
TRX-7FFD2F30,2025-11-29,Surabaya Warehouse,Morganton,Motorcycle (Courier),Inter-District,34.1,17.9,High,4.267,0
TRX-DEC988E4,2025-10-24,Bandung Hub,Lake David,Diesel Van (Euro 6),Mixed Route,71.8,17.2,Low,12.153,0
TRX-4A65260F,2025-11-29,Makassar Port,Markborough,Diesel Van (Euro 6),Mixed Route,70.4,10.2,High,18.742,0
TRX-D1895916,2025-11-06,Jakarta Fulfillment Center,Robertsonstad,Electric Van (EV),Mixed Route,47.3,26.1,High,2.489,1
TRX-CCEE1C64,2025-02-02,Surabaya Warehouse,New Kayla,Diesel Van (Euro 6),Mixed Route,86.3,8.4,High,23.261,0
TRX-ABD2E8BE,2025-02-09,Surabaya Warehouse,West Teresa,Diesel Van (Euro 6),Mixed Route,88.6,4.1,High,21.195,0
TRX-764C2E4F,2025-07-01,Surabaya Warehouse,New Emily,Heavy Truck,Inter-City,420.6,2305.6,High,490.917,0
TRX-8EDA6D80,2025-10-03,Jakarta Fulfillment Center,Christopherchester,Heavy Truck,Inter-City,601.5,3533.5,High,760.233,0
TRX-BD8EC1B9,2025-10-06,Surabaya Warehouse,North Anthony,Diesel Van (Euro 4),Mixed Route,105.1,27.7,Low,28.297,0
TRX-9E5187E3,2026-01-02,Makassar Port,Williamsside,Drone Delivery,Urban Last Mile,9.9,25.3,Severe Congestion,0.117,1
TRX-0A23C759,2025-10-15,Medan Distribution,South Diane,Heavy Truck,Inter-City,246.9,2084.7,Normal,204.966,0
TRX-C63BB78E,2025-05-15,Surabaya Warehouse,Michaelfort,Diesel Van (Euro 4),Mixed Route,139.2,21.9,Low,33.227,0
TRX-87D72759,2025-04-12,Jakarta Fulfillment Center,Wareview,Electric Van (EV),Mixed Route,88.2,7.9,High,4.571,1
TRX-BA029DDE,2025-01-17,Surabaya Warehouse,Andersonfort,Heavy Truck,Inter-City,551.1,2365.8,Low,442.993,0
TRX-E3346A65,2025-11-13,Semarang Depot,Jonmouth,Drone Delivery,Urban Last Mile,13.4,10.5,Normal,0.1,1
TRX-F57C25B6,2025-03-21,Jakarta Fulfillment Center,Joshuafurt,Drone Delivery,Urban Last Mile,4.1,4.1,Normal,0.021,1
TRX-2FD0EF7F,2025-05-01,Surabaya Warehouse,New Brian,Electric Van (EV),Mixed Route,12.5,6.7,Normal,0.615,1
TRX-3B831239,2025-06-11,Semarang Depot,Lake Jenniferhaven,Heavy Truck,Inter-City,293.8,3335.8,High,382.489,0
TRX-61BDEDD5,2025-09-24,Jakarta Fulfillment Center,Tinaland,Heavy Truck,Inter-City,584.7,2925.3,Normal,524.465,0
TRX-1A3B83F6,2025-11-30,Jakarta Fulfillment Center,Tracymouth,Diesel Van (Euro 4),Mixed Route,31.8,29.2,Normal,8.937,0
TRX-DBB34431,2025-05-22,Semarang Depot,North Vanessa,Diesel Van (Euro 6),Mixed Route,94.9,5.5,Normal,17.083,0
TRX-70233928,2025-12-04,Surabaya Warehouse,Port Jonathan,Diesel Van (Euro 4),Mixed Route,89.5,21.5,Normal,24.715,0
TRX-02FA6C1E,2025-12-07,Makassar Port,Mccoyborough,Heavy Truck,Inter-City,491.4,986.3,Normal,399.431,0
TRX-CC8E1707,2025-01-14,Surabaya Warehouse,Allenchester,Motorcycle (Courier),Inter-District,6.6,16.7,Normal,0.669,0
TRX-DA62C938,2025-07-19,Medan Distribution,New Jason,Diesel Van (Euro 6),Mixed Route,148.4,27.4,Low,25.223,0
TRX-6FBE0E9A,2025-12-03,Makassar Port,Kimberlyfort,Cargo Bicycle,Urban Last Mile,5.8,10.7,High,0.0,1
TRX-868B038C,2025-02-25,Medan Distribution,Michaelfurt,Motorcycle (Courier),Inter-District,13.9,26.6,Normal,1.442,0
TRX-A26F7B4A,2025-07-28,Surabaya Warehouse,East Catherine,Diesel Van (Euro 4),Mixed Route,100.1,4.4,Severe Congestion,41.469,0
TRX-88F3BEDB,2025-10-03,Semarang Depot,Lake Douglas,Drone Delivery,Urban Last Mile,6.1,25.2,High,0.065,1
TRX-65109313,2025-11-08,Semarang Depot,Port Elizabethton,Diesel Van (Euro 6),Mixed Route,61.5,15.6,Normal,12.443,0
TRX-D6A9EE90,2025-04-21,Makassar Port,Shelleyburgh,Motorcycle (Courier),Inter-District,15.6,17.7,Normal,1.638,0
TRX-B1501C39,2025-02-26,Semarang Depot,Sylviastad,Drone Delivery,Urban Last Mile,1.9,21.8,Normal,0.018,1
TRX-391C5095,2025-02-21,Makassar Port,Jacksonton,Heavy Truck,Inter-City,577.4,3946.3,Low,539.309,0
TRX-32885C9B,2025-10-21,Surabaya Warehouse,Lake Eric,Motorcycle (Courier),Inter-District,26.6,25.7,Low,2.656,0
TRX-C0EA7636,2025-09-09,Medan Distribution,Gainestown,Heavy Truck,Inter-City,327.6,1930.7,Normal,301.15,0
TRX-60A0AB6A,2025-04-29,Surabaya Warehouse,New Michael,Electric Van (EV),Mixed Route,35.4,29.7,Severe Congestion,1.962,1
TRX-C1F28CB3,2025-08-01,Bandung Hub,South Erinchester,Drone Delivery,Urban Last Mile,4.6,28.5,Severe Congestion,0.059,1
TRX-EFB7A89E,2025-03-04,Medan Distribution,Dustinhaven,Heavy Truck,Inter-City,707.8,3337.4,Severe Congestion,1068.186,0
TRX-1DA75F0B,2025-01-18,Medan Distribution,Smithville,Diesel Van (Euro 6),Mixed Route,14.0,7.6,High,3.343,0
TRX-0D80E3CC,2025-05-20,Semarang Depot,Marktown,Heavy Truck,Inter-City,698.8,1069.2,High,747.801,0
TRX-B4D71493,2025-03-07,Bandung Hub,Port Lisa,Drone Delivery,Urban Last Mile,13.1,23.4,High,0.133,1
TRX-D81C22E8,2025-06-16,Makassar Port,Gonzalezburgh,Motorcycle (Courier),Inter-District,9.8,20.5,High,1.303,0
TRX-54102491,2025-04-06,Surabaya Warehouse,Lake Tammy,Electric Van (EV),Mixed Route,149.6,12.1,Normal,7.3,1
TRX-4EAE0A1A,2025-03-26,Medan Distribution,Ericchester,Cargo Bicycle,Urban Last Mile,8.5,5.0,Severe Congestion,0.0,1
TRX-4A80BDB4,2025-10-10,Medan Distribution,Stevensstad,Cargo Bicycle,Urban Last Mile,14.7,22.0,Severe Congestion,0.0,1
TRX-C7985D2B,2025-10-03,Bandung Hub,West Crystal,Drone Delivery,Urban Last Mile,12.4,19.9,Normal,0.11,1
TRX-EB3E98BA,2025-06-23,Jakarta Fulfillment Center,Davisborough,Drone Delivery,Urban Last Mile,10.3,1.5,High,0.053,1
TRX-29523D72,2025-10-17,Surabaya Warehouse,North Katelyn,Drone Delivery,Urban Last Mile,3.5,8.4,Normal,0.023,1
TRX-67B26793,2025-05-20,Medan Distribution,North George,Cargo Bicycle,Urban Last Mile,6.0,14.0,High,0.0,1
TRX-BD4067FE,2025-09-08,Bandung Hub,Lopezchester,Cargo Bicycle,Urban Last Mile,1.8,6.0,Low,0.0,1
TRX-B91D832E,2025-01-14,Bandung Hub,Lake Paula,Motorcycle (Courier),Inter-District,27.4,14.9,Normal,2.57,0
TRX-9ED49402,2025-09-06,Medan Distribution,Justinstad,Diesel Van (Euro 4),Mixed Route,52.1,15.7,High,19.721,0
TRX-425DA3AF,2025-06-06,Medan Distribution,South Abigailview,Diesel Van (Euro 4),Mixed Route,75.2,22.5,High,29.429,0
TRX-9A7582BF,2025-11-25,Bandung Hub,Tracyberg,Electric Van (EV),Mixed Route,30.4,15.5,Normal,1.515,1
TRX-ADC9D9FA,2025-02-13,Semarang Depot,New Jeffrey,Diesel Van (Euro 4),Mixed Route,18.1,10.9,Severe Congestion,7.561,0
TRX-02817D02,2025-05-22,Makassar Port,Bennettshire,Cargo Bicycle,Urban Last Mile,12.4,8.1,Low,0.0,1
TRX-2FE95F06,2025-01-21,Jakarta Fulfillment Center,Kariland,Diesel Van (Euro 6),Mixed Route,80.5,26.1,Low,14.662,0
TRX-B21C7A7A,2025-07-01,Jakarta Fulfillment Center,Reedhaven,Motorcycle (Courier),Inter-District,28.2,6.4,High,3.585,0
TRX-8DDD7C57,2025-11-17,Bandung Hub,Port Joshuaton,Diesel Van (Euro 6),Mixed Route,41.5,29.1,Normal,7.915,0
